question,answer
nilai utama uitm?,"Seseorang individu mampu berusaha untuk mencapai kecemerlangan melalui pemindahan ilmu serta penerapan nilai-nilai murni bagi melahirkan graduan profesional yang berperanan membangunkan diri, ilmu, masyarakat dan negara"
apa pegangan uitm?,"Seseorang individu mampu berusaha untuk mencapai kecemerlangan melalui pemindahan ilmu serta penerapan nilai-nilai murni bagi melahirkan graduan profesional yang berperanan membangunkan diri, ilmu, masyarakat dan negara"
apa prinsip uitm?,"Seseorang individu mampu berusaha untuk mencapai kecemerlangan melalui pemindahan ilmu serta penerapan nilai-nilai murni bagi melahirkan graduan profesional yang berperanan membangunkan diri, ilmu, masyarakat dan negara"
objektif uitm,"Objektif UiTM adalah 
1. Menyediakan peluang maksimum kepada kaum bumiputera bagi mengikuti pendidikan bertaraf profesional dalam bidang sains, industri, teknologi, perdagangan, seni dan kemasyarakatan
2. Menyediakan program pengajaran yang berkualiti dan inovatif serta memenuhi kehendak pasaran dan pelanggan di samping mendokong dasar pembangunan negara
3. Mewujudkan program pembangunan kemanusiaan sebagai alat menerapkan sistem nilai di kalangan masyarakat UiTM
4. Memastikan produk UiTM bukan sahaja dapat memenuhi pasaran guna tenaga manusia tempatan, malah juga bersedia berkhidmat di peringkat global
5. Menjadikan UiTM sebuah organisasi cemerlang yang dapat menjamin pengurusan sumber manusia, kewangan dan harta benda yang berkesan dan cekap untuk mencapai matlamat pendidikan UiTM serta memainkan peranan sebagai pemangkin pembangunan masyarakat"
apa objektif uitm,"Objektif UiTM adalah 
1. Menyediakan peluang maksimum kepada kaum bumiputera bagi mengikuti pendidikan bertaraf profesional dalam bidang sains, industri, teknologi, perdagangan, seni dan kemasyarakatan
2. Menyediakan program pengajaran yang berkualiti dan inovatif serta memenuhi kehendak pasaran dan pelanggan di samping mendokong dasar pembangunan negara
3. Mewujudkan program pembangunan kemanusiaan sebagai alat menerapkan sistem nilai di kalangan masyarakat UiTM
4. Memastikan produk UiTM bukan sahaja dapat memenuhi pasaran guna tenaga manusia tempatan, malah juga bersedia berkhidmat di peringkat global
5. Menjadikan UiTM sebuah organisasi cemerlang yang dapat menjamin pengurusan sumber manusia, kewangan dan harta benda yang berkesan dan cekap untuk mencapai matlamat pendidikan UiTM serta memainkan peranan sebagai pemangkin pembangunan masyarakat"
objectif uitm apa,"Objektif UiTM adalah 
1. Menyediakan peluang maksimum kepada kaum bumiputera bagi mengikuti pendidikan bertaraf profesional dalam bidang sains, industri, teknologi, perdagangan, seni dan kemasyarakatan
2. Menyediakan program pengajaran yang berkualiti dan inovatif serta memenuhi kehendak pasaran dan pelanggan di samping mendokong dasar pembangunan negara
3. Mewujudkan program pembangunan kemanusiaan sebagai alat menerapkan sistem nilai di kalangan masyarakat UiTM
4. Memastikan produk UiTM bukan sahaja dapat memenuhi pasaran guna tenaga manusia tempatan, malah juga bersedia berkhidmat di peringkat global
5. Menjadikan UiTM sebuah organisasi cemerlang yang dapat menjamin pengurusan sumber manusia, kewangan dan harta benda yang berkesan dan cekap untuk mencapai matlamat pendidikan UiTM serta memainkan peranan sebagai pemangkin pembangunan masyarakat"
uitm ada berapa objektif,"Objektif UiTM adalah 
1. Menyediakan peluang maksimum kepada kaum bumiputera bagi mengikuti pendidikan bertaraf profesional dalam bidang sains, industri, teknologi, perdagangan, seni dan kemasyarakatan
2. Menyediakan program pengajaran yang berkualiti dan inovatif serta memenuhi kehendak pasaran dan pelanggan di samping mendokong dasar pembangunan negara
3. Mewujudkan program pembangunan kemanusiaan sebagai alat menerapkan sistem nilai di kalangan masyarakat UiTM
4. Memastikan produk UiTM bukan sahaja dapat memenuhi pasaran guna tenaga manusia tempatan, malah juga bersedia berkhidmat di peringkat global
5. Menjadikan UiTM sebuah organisasi cemerlang yang dapat menjamin pengurusan sumber manusia, kewangan dan harta benda yang berkesan dan cekap untuk mencapai matlamat pendidikan UiTM serta memainkan peranan sebagai pemangkin pembangunan masyarakat"
objektif uitm ada berapa,"Objektif UiTM adalah 
1. Menyediakan peluang maksimum kepada kaum bumiputera bagi mengikuti pendidikan bertaraf profesional dalam bidang sains, industri, teknologi, perdagangan, seni dan kemasyarakatan
2. Menyediakan program pengajaran yang berkualiti dan inovatif serta memenuhi kehendak pasaran dan pelanggan di samping mendokong dasar pembangunan negara
3. Mewujudkan program pembangunan kemanusiaan sebagai alat menerapkan sistem nilai di kalangan masyarakat UiTM
4. Memastikan produk UiTM bukan sahaja dapat memenuhi pasaran guna tenaga manusia tempatan, malah juga bersedia berkhidmat di peringkat global
5. Menjadikan UiTM sebuah organisasi cemerlang yang dapat menjamin pengurusan sumber manusia, kewangan dan harta benda yang berkesan dan cekap untuk mencapai matlamat pendidikan UiTM serta memainkan peranan sebagai pemangkin pembangunan masyarakat"
terangkan objektif uitm,"Objektif UiTM adalah 
1. Menyediakan peluang maksimum kepada kaum bumiputera bagi mengikuti pendidikan bertaraf profesional dalam bidang sains, industri, teknologi, perdagangan, seni dan kemasyarakatan
2. Menyediakan program pengajaran yang berkualiti dan inovatif serta memenuhi kehendak pasaran dan pelanggan di samping mendokong dasar pembangunan negara
3. Mewujudkan program pembangunan kemanusiaan sebagai alat menerapkan sistem nilai di kalangan masyarakat UiTM
4. Memastikan produk UiTM bukan sahaja dapat memenuhi pasaran guna tenaga manusia tempatan, malah juga bersedia berkhidmat di peringkat global
5. Menjadikan UiTM sebuah organisasi cemerlang yang dapat menjamin pengurusan sumber manusia, kewangan dan harta benda yang berkesan dan cekap untuk mencapai matlamat pendidikan UiTM serta memainkan peranan sebagai pemangkin pembangunan masyarakat"
apakah nama kamu,"Nama saya MAR, pembantu pendaftaran anda! Selamat berkenalan."
apa itu uitm,UiTM adalah universiti komprehensif yang berfokuskan kepada pembangunan teknologi. UiTM telah berjaya melahirkan lebih 1 081 943 alumni dalam pelbagai bidang.
uitm tu apa?,UiTM adalah universiti komprehensif yang berfokuskan kepada pembangunan teknologi. UiTM telah berjaya melahirkan lebih 1 081 943 alumni dalam pelbagai bidang.
alumni uitm berapa,UiTM adalah universiti komprehensif yang berfokuskan kepada pembangunan teknologi. UiTM telah berjaya melahirkan lebih 1 081 943 alumni dalam pelbagai bidang.
universiti uitm tu macam mana?,UiTM adalah universiti komprehensif yang berfokuskan kepada pembangunan teknologi. UiTM telah berjaya melahirkan lebih 1 081 943 alumni dalam pelbagai bidang.
terangkan tentang uitm,UiTM adalah universiti komprehensif yang berfokuskan kepada pembangunan teknologi. UiTM telah berjaya melahirkan lebih 1 081 943 alumni dalam pelbagai bidang.
uitm ada berapa alumni,UiTM adalah universiti komprehensif yang berfokuskan kepada pembangunan teknologi. UiTM telah berjaya melahirkan lebih 1 081 943 alumni dalam pelbagai bidang.
apakah asal asal uitm,"Nama asal UiTM adalah Dewan Latehan RIDA, seterusnya Institut Teknologi MARA (ITM) dan pada 26 Ogos 1999, YAB Dato' Seri Dr. Mahathir Mohamad secara rasminya mengisytiharkan penukaran Institut Teknologi MARA kepada Universiti teknologi MARA (UiTM)"
sejarah uitm ,"Nama asal UiTM adalah Dewan Latehan RIDA, seterusnya Institut Teknologi MARA (ITM) dan pada 26 Ogos 1999, YAB Dato' Seri Dr. Mahathir Mohamad secara rasminya mengisytiharkan penukaran Institut Teknologi MARA kepada Universiti teknologi MARA (UiTM)"
bila uitm jadi universiti,"Nama asal UiTM adalah Dewan Latehan RIDA, seterusnya Institut Teknologi MARA (ITM) dan pada 26 Ogos 1999, YAB Dato' Seri Dr. Mahathir Mohamad secara rasminya mengisytiharkan penukaran Institut Teknologi MARA kepada Universiti teknologi MARA (UiTM)"
nama asal uitm ,"Nama asal UiTM adalah Dewan Latehan RIDA, seterusnya Institut Teknologi MARA (ITM) dan pada 26 Ogos 1999, YAB Dato' Seri Dr. Mahathir Mohamad secara rasminya mengisytiharkan penukaran Institut Teknologi MARA kepada Universiti teknologi MARA (UiTM)"
nama lama uitm,"Nama asal UiTM adalah Dewan Latehan RIDA, seterusnya Institut Teknologi MARA (ITM) dan pada 26 Ogos 1999, YAB Dato' Seri Dr. Mahathir Mohamad secara rasminya mengisytiharkan penukaran Institut Teknologi MARA kepada Universiti teknologi MARA (UiTM)"
bila uitm tukar nama,"Nama asal UiTM adalah Dewan Latehan RIDA, seterusnya Institut Teknologi MARA (ITM) dan pada 26 Ogos 1999, YAB Dato' Seri Dr. Mahathir Mohamad secara rasminya mengisytiharkan penukaran Institut Teknologi MARA kepada Universiti teknologi MARA (UiTM)"
bilakah uitm ditubuhkan,UiTM ditubuhkan pada tahun 1956
uitm bermula bila,UiTM ditubuhkan pada tahun 1956
tahun uitm ditubuhkan,UiTM ditubuhkan pada tahun 1956
kenapa dengan tahun 1956,UiTM ditubuhkan pada tahun 1956
uitn ditubuhkan bila,UiTM ditubuhkan pada tahun 1956
1956 uitm ditubuhkan ke,UiTM ditubuhkan pada tahun 1956
berapakah jumlah cawangan uitm,UiTM mempunyai 34 cawangan seluruh Malaysia di mana UiTM Shah Alam merupakan induk kepada semua cawangan UiTM.
uitm shah alam induk ke,UiTM mempunyai 34 cawangan seluruh Malaysia di mana UiTM Shah Alam merupakan induk kepada semua cawangan UiTM.
cawangan uitm ada berapa,UiTM mempunyai 34 cawangan seluruh Malaysia di mana UiTM Shah Alam merupakan induk kepada semua cawangan UiTM.
uitm ada cawangan seluruh malaysia ke,UiTM mempunyai 34 cawangan seluruh Malaysia di mana UiTM Shah Alam merupakan induk kepada semua cawangan UiTM.
uitm ada berapa cawangan,UiTM mempunyai 34 cawangan seluruh Malaysia di mana UiTM Shah Alam merupakan induk kepada semua cawangan UiTM.
jumlah cawangan uitm,UiTM mempunyai 34 cawangan seluruh Malaysia di mana UiTM Shah Alam merupakan induk kepada semua cawangan UiTM.
berapakah jumlah akademik program ditawarkan oleh uitm,"UiTM menawarkan lebih daripada 500 program di semua peringkat seperti Asasi, Sarjana Muda dan juga Ijazah. Dengan kepelbagaian program yang ditawarkan, UiTM giat meluaskan pengaruhnya dalam pendidikan tinggi demi menggilap potensi pelajar-pelajarnya dalam masa yang sama membentuk masa depan yang lebih cerah demi memenuhi tanggungjawabnya dalam melahirkan anak bangsa yang berkualiti tinggi."
uitm tawarkan berapa program,"UiTM menawarkan lebih daripada 500 program di semua peringkat seperti Asasi, Sarjana Muda dan juga Ijazah. Dengan kepelbagaian program yang ditawarkan, UiTM giat meluaskan pengaruhnya dalam pendidikan tinggi demi menggilap potensi pelajar-pelajarnya dalam masa yang sama membentuk masa depan yang lebih cerah demi memenuhi tanggungjawabnya dalam melahirkan anak bangsa yang berkualiti tinggi."
kenapa uitm ada banyak program,"UiTM menawarkan lebih daripada 500 program di semua peringkat seperti Asasi, Sarjana Muda dan juga Ijazah. Dengan kepelbagaian program yang ditawarkan, UiTM giat meluaskan pengaruhnya dalam pendidikan tinggi demi menggilap potensi pelajar-pelajarnya dalam masa yang sama membentuk masa depan yang lebih cerah demi memenuhi tanggungjawabnya dalam melahirkan anak bangsa yang berkualiti tinggi."
program kat uitm ada berapa,"UiTM menawarkan lebih daripada 500 program di semua peringkat seperti Asasi, Sarjana Muda dan juga Ijazah. Dengan kepelbagaian program yang ditawarkan, UiTM giat meluaskan pengaruhnya dalam pendidikan tinggi demi menggilap potensi pelajar-pelajarnya dalam masa yang sama membentuk masa depan yang lebih cerah demi memenuhi tanggungjawabnya dalam melahirkan anak bangsa yang berkualiti tinggi."
uitm ada berapa program,"UiTM menawarkan lebih daripada 500 program di semua peringkat seperti Asasi, Sarjana Muda dan juga Ijazah. Dengan kepelbagaian program yang ditawarkan, UiTM giat meluaskan pengaruhnya dalam pendidikan tinggi demi menggilap potensi pelajar-pelajarnya dalam masa yang sama membentuk masa depan yang lebih cerah demi memenuhi tanggungjawabnya dalam melahirkan anak bangsa yang berkualiti tinggi."
banyak ke uitm tawarkan program,"UiTM menawarkan lebih daripada 500 program di semua peringkat seperti Asasi, Sarjana Muda dan juga Ijazah. Dengan kepelbagaian program yang ditawarkan, UiTM giat meluaskan pengaruhnya dalam pendidikan tinggi demi menggilap potensi pelajar-pelajarnya dalam masa yang sama membentuk masa depan yang lebih cerah demi memenuhi tanggungjawabnya dalam melahirkan anak bangsa yang berkualiti tinggi."
uitm tawarkan program banyak mana,"UiTM menawarkan lebih daripada 500 program di semua peringkat seperti Asasi, Sarjana Muda dan juga Ijazah. Dengan kepelbagaian program yang ditawarkan, UiTM giat meluaskan pengaruhnya dalam pendidikan tinggi demi menggilap potensi pelajar-pelajarnya dalam masa yang sama membentuk masa depan yang lebih cerah demi memenuhi tanggungjawabnya dalam melahirkan anak bangsa yang berkualiti tinggi."
jumlah program yang uitm tawarkan ,"UiTM menawarkan lebih daripada 500 program di semua peringkat seperti Asasi, Sarjana Muda dan juga Ijazah. Dengan kepelbagaian program yang ditawarkan, UiTM giat meluaskan pengaruhnya dalam pendidikan tinggi demi menggilap potensi pelajar-pelajarnya dalam masa yang sama membentuk masa depan yang lebih cerah demi memenuhi tanggungjawabnya dalam melahirkan anak bangsa yang berkualiti tinggi."
jumlah program yang ada kat uitm berapa,"UiTM menawarkan lebih daripada 500 program di semua peringkat seperti Asasi, Sarjana Muda dan juga Ijazah. Dengan kepelbagaian program yang ditawarkan, UiTM giat meluaskan pengaruhnya dalam pendidikan tinggi demi menggilap potensi pelajar-pelajarnya dalam masa yang sama membentuk masa depan yang lebih cerah demi memenuhi tanggungjawabnya dalam melahirkan anak bangsa yang berkualiti tinggi."
berapa jumlah program yang ada di uitm,"UiTM menawarkan lebih daripada 500 program di semua peringkat seperti Asasi, Sarjana Muda dan juga Ijazah. Dengan kepelbagaian program yang ditawarkan, UiTM giat meluaskan pengaruhnya dalam pendidikan tinggi demi menggilap potensi pelajar-pelajarnya dalam masa yang sama membentuk masa depan yang lebih cerah demi memenuhi tanggungjawabnya dalam melahirkan anak bangsa yang berkualiti tinggi."
banyak mana program uitm tawarkan,"UiTM menawarkan lebih daripada 500 program di semua peringkat seperti Asasi, Sarjana Muda dan juga Ijazah. Dengan kepelbagaian program yang ditawarkan, UiTM giat meluaskan pengaruhnya dalam pendidikan tinggi demi menggilap potensi pelajar-pelajarnya dalam masa yang sama membentuk masa depan yang lebih cerah demi memenuhi tanggungjawabnya dalam melahirkan anak bangsa yang berkualiti tinggi."
uitm tawarkan banyak program ke,"UiTM menawarkan lebih daripada 500 program di semua peringkat seperti Asasi, Sarjana Muda dan juga Ijazah. Dengan kepelbagaian program yang ditawarkan, UiTM giat meluaskan pengaruhnya dalam pendidikan tinggi demi menggilap potensi pelajar-pelajarnya dalam masa yang sama membentuk masa depan yang lebih cerah demi memenuhi tanggungjawabnya dalam melahirkan anak bangsa yang berkualiti tinggi."
berikan saya checklist untuk pendaftaran pelajar baharu,"Berikut merupakan checklist untuk pendaftaran pelajar baharu.
1. Mencetak Surat Tawaran Kemasukan ke Universiti Teknologi MARA (4 salinan)
2. Mencetak Bil Bayaran Yuran Pelajar
3. Cetak dan Lengkapkan semua borang yang disertakan:
     a) Borang Pendaftaran Pelajar Baru Sepenuh Masa
     b) Borang Maklumat Pelajar Baru
     c) Laporan Pemeriksaan Kesihatan
     d) Borang Pengesahan Akuan Pendapatan
4. Menjelaskan Bil Yuran Pelajar sebelum hari pendaftaran
5. Membuat pemeriksaan kesihatan di klinik kerajaan / swasta
6. Suntikan Typhoid (semua pelajar baru Fakulti Pengurusan Hotel dan Pelancongan kecuali yang akan mengikuti program Diploma dan Ijazah Sarjana Muda Pengurusan Pelancongan)
7. Pemeriksaan hepatitis B dan C serta HIV diwajibkan bagi pelajar Program Pengajian Perubatan, Pergigian, Kejururawatan dan Teknologi Makmal Perubatan
8. Penyediaan gambar ukuran pasport sebanyak lapan (8) keping
9. Penyediaan keperluan peribadi seperti duit saku yang berpatutan untuk membeli keperluan harian, peralatan, peralatan kuliah dan buku. Selain itu, bantal dan sarung bantal, cadar, kasut dan pakaian sukan, kasut dan pakaian formal, kelengkapan solat, baldi, sabun dan sebagainya.
10. Melapor diri pada tarikh, masa dan kampus yang dinyatakan dalam surat tawaran"
apa dokumen saya kena bawa masa daftar,"Berikut merupakan checklist untuk pendaftaran pelajar baharu.
1. Mencetak Surat Tawaran Kemasukan ke Universiti Teknologi MARA (4 salinan)
2. Mencetak Bil Bayaran Yuran Pelajar
3. Cetak dan Lengkapkan semua borang yang disertakan:
     a) Borang Pendaftaran Pelajar Baru Sepenuh Masa
     b) Borang Maklumat Pelajar Baru
     c) Laporan Pemeriksaan Kesihatan
     d) Borang Pengesahan Akuan Pendapatan
4. Menjelaskan Bil Yuran Pelajar sebelum hari pendaftaran
5. Membuat pemeriksaan kesihatan di klinik kerajaan / swasta
6. Suntikan Typhoid (semua pelajar baru Fakulti Pengurusan Hotel dan Pelancongan kecuali yang akan mengikuti program Diploma dan Ijazah Sarjana Muda Pengurusan Pelancongan)
7. Pemeriksaan hepatitis B dan C serta HIV diwajibkan bagi pelajar Program Pengajian Perubatan, Pergigian, Kejururawatan dan Teknologi Makmal Perubatan
8. Penyediaan gambar ukuran pasport sebanyak lapan (8) keping
9. Penyediaan keperluan peribadi seperti duit saku yang berpatutan untuk membeli keperluan harian, peralatan, peralatan kuliah dan buku. Selain itu, bantal dan sarung bantal, cadar, kasut dan pakaian sukan, kasut dan pakaian formal, kelengkapan solat, baldi, sabun dan sebagainya.
10. Melapor diri pada tarikh, masa dan kampus yang dinyatakan dalam surat tawaran"
dokumen untuk pendaftaran uitm?,"Berikut merupakan checklist untuk pendaftaran pelajar baharu.
1. Mencetak Surat Tawaran Kemasukan ke Universiti Teknologi MARA (4 salinan)
2. Mencetak Bil Bayaran Yuran Pelajar
3. Cetak dan Lengkapkan semua borang yang disertakan:
     a) Borang Pendaftaran Pelajar Baru Sepenuh Masa
     b) Borang Maklumat Pelajar Baru
     c) Laporan Pemeriksaan Kesihatan
     d) Borang Pengesahan Akuan Pendapatan
4. Menjelaskan Bil Yuran Pelajar sebelum hari pendaftaran
5. Membuat pemeriksaan kesihatan di klinik kerajaan / swasta
6. Suntikan Typhoid (semua pelajar baru Fakulti Pengurusan Hotel dan Pelancongan kecuali yang akan mengikuti program Diploma dan Ijazah Sarjana Muda Pengurusan Pelancongan)
7. Pemeriksaan hepatitis B dan C serta HIV diwajibkan bagi pelajar Program Pengajian Perubatan, Pergigian, Kejururawatan dan Teknologi Makmal Perubatan
8. Penyediaan gambar ukuran pasport sebanyak lapan (8) keping
9. Penyediaan keperluan peribadi seperti duit saku yang berpatutan untuk membeli keperluan harian, peralatan, peralatan kuliah dan buku. Selain itu, bantal dan sarung bantal, cadar, kasut dan pakaian sukan, kasut dan pakaian formal, kelengkapan solat, baldi, sabun dan sebagainya.
10. Melapor diri pada tarikh, masa dan kampus yang dinyatakan dalam surat tawaran"
dokumen apa saya kena ada masa daftar uitn,"Berikut merupakan checklist untuk pendaftaran pelajar baharu.
1. Mencetak Surat Tawaran Kemasukan ke Universiti Teknologi MARA (4 salinan)
2. Mencetak Bil Bayaran Yuran Pelajar
3. Cetak dan Lengkapkan semua borang yang disertakan:
     a) Borang Pendaftaran Pelajar Baru Sepenuh Masa
     b) Borang Maklumat Pelajar Baru
     c) Laporan Pemeriksaan Kesihatan
     d) Borang Pengesahan Akuan Pendapatan
4. Menjelaskan Bil Yuran Pelajar sebelum hari pendaftaran
5. Membuat pemeriksaan kesihatan di klinik kerajaan / swasta
6. Suntikan Typhoid (semua pelajar baru Fakulti Pengurusan Hotel dan Pelancongan kecuali yang akan mengikuti program Diploma dan Ijazah Sarjana Muda Pengurusan Pelancongan)
7. Pemeriksaan hepatitis B dan C serta HIV diwajibkan bagi pelajar Program Pengajian Perubatan, Pergigian, Kejururawatan dan Teknologi Makmal Perubatan
8. Penyediaan gambar ukuran pasport sebanyak lapan (8) keping
9. Penyediaan keperluan peribadi seperti duit saku yang berpatutan untuk membeli keperluan harian, peralatan, peralatan kuliah dan buku. Selain itu, bantal dan sarung bantal, cadar, kasut dan pakaian sukan, kasut dan pakaian formal, kelengkapan solat, baldi, sabun dan sebagainya.
10. Melapor diri pada tarikh, masa dan kampus yang dinyatakan dalam surat tawaran"
tolong senaraikan dokumen yang perlu saya bawa semasa pendaftaran pelajar baru,"Berikut merupakan checklist untuk pendaftaran pelajar baharu.
1. Mencetak Surat Tawaran Kemasukan ke Universiti Teknologi MARA (4 salinan)
2. Mencetak Bil Bayaran Yuran Pelajar
3. Cetak dan Lengkapkan semua borang yang disertakan:
     a) Borang Pendaftaran Pelajar Baru Sepenuh Masa
     b) Borang Maklumat Pelajar Baru
     c) Laporan Pemeriksaan Kesihatan
     d) Borang Pengesahan Akuan Pendapatan
4. Menjelaskan Bil Yuran Pelajar sebelum hari pendaftaran
5. Membuat pemeriksaan kesihatan di klinik kerajaan / swasta
6. Suntikan Typhoid (semua pelajar baru Fakulti Pengurusan Hotel dan Pelancongan kecuali yang akan mengikuti program Diploma dan Ijazah Sarjana Muda Pengurusan Pelancongan)
7. Pemeriksaan hepatitis B dan C serta HIV diwajibkan bagi pelajar Program Pengajian Perubatan, Pergigian, Kejururawatan dan Teknologi Makmal Perubatan
8. Penyediaan gambar ukuran pasport sebanyak lapan (8) keping
9. Penyediaan keperluan peribadi seperti duit saku yang berpatutan untuk membeli keperluan harian, peralatan, peralatan kuliah dan buku. Selain itu, bantal dan sarung bantal, cadar, kasut dan pakaian sukan, kasut dan pakaian formal, kelengkapan solat, baldi, sabun dan sebagainya.
10. Melapor diri pada tarikh, masa dan kampus yang dinyatakan dalam surat tawaran"
